"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,0.620842380252394,0.841,0.38,0,"Excitatory.neurons_WT","Miat"
"2",0,0.60999470850937,0.561,0.187,0,"Excitatory.neurons_WT","Gm28928"
"3",0,0.606430983397325,0.732,0.295,0,"Excitatory.neurons_WT","Car10"
"4",0,0.590980205297134,0.935,0.535,0,"Excitatory.neurons_WT","Kalrn"
"5",0,0.576921436197839,0.792,0.36,0,"Excitatory.neurons_WT","Sv2b"
"6",0,0.564654295375446,0.852,0.477,0,"Excitatory.neurons_WT","Kcnip4"
"7",0,0.551770126649322,0.783,0.339,0,"Excitatory.neurons_WT","Slc17a7"
"8",0,0.532904192960977,0.714,0.354,0,"Excitatory.neurons_WT","Lingo2"
"9",0,0.53069442944094,0.769,0.354,0,"Excitatory.neurons_WT","Ralyl"
"10",0,0.51899741469662,0.674,0.272,0,"Excitatory.neurons_WT","Kcnj6"
"11",0,0.517599900006425,0.821,0.417,0,"Excitatory.neurons_WT","Gm27032"
"12",0,0.516138112700066,0.629,0.26,0,"Excitatory.neurons_WT","Pde1a"
"13",0,0.513652052147317,0.956,0.581,0,"Excitatory.neurons_WT","Arpp21"
"14",0,0.509397351320556,0.753,0.352,0,"Excitatory.neurons_WT","Ppm1e"
"15",0,0.508212608648876,0.789,0.391,0,"Excitatory.neurons_WT","Kcnh7"
"16",0,0.503942328217035,0.962,0.576,0,"Excitatory.neurons_WT","Mir124a-1hg"
"17",0,0.501401236879713,0.793,0.4,0,"Excitatory.neurons_WT","Pdlim7"
"18",0,0.495724876544118,0.916,0.56,0,"Excitatory.neurons_WT","Epha5"
"19",0,0.494176640463254,0.928,0.569,0,"Excitatory.neurons_WT","Csmd1"
"20",0,0.492681297452465,0.882,0.494,0,"Excitatory.neurons_WT","Cacna2d1"
"21",0,0.489875072158593,0.881,0.495,0,"Excitatory.neurons_WT","Dlgap2"
"22",0,0.489176565512236,0.902,0.523,0,"Excitatory.neurons_WT","Grin2a"
"23",0,0.487229686392601,0.765,0.391,0,"Excitatory.neurons_WT","Schip1"
"24",0,0.487047302966398,0.598,0.231,0,"Excitatory.neurons_WT","Sidt1"
"25",0,0.486214789970546,0.864,0.476,0,"Excitatory.neurons_WT","Matk"
"26",0,0.4811029496007,0.852,0.467,0,"Excitatory.neurons_WT","Ryr2"
"27",0,0.481086959488047,0.964,0.62,0,"Excitatory.neurons_WT","Ahi1"
"28",0,0.475718975357571,0.446,0.158,0,"Excitatory.neurons_WT","Fam19a1"
"29",0,0.473697836342283,0.613,0.26,0,"Excitatory.neurons_WT","Ak5"
"30",0,0.471957861658364,0.919,0.588,0,"Excitatory.neurons_WT","Opcml"
"31",0,0.471210643424083,0.764,0.401,0,"Excitatory.neurons_WT","Rnf112"
"32",0,0.459181413506733,0.849,0.486,0,"Excitatory.neurons_WT","Pcsk2"
"33",0,0.458656927921794,0.95,0.617,0,"Excitatory.neurons_WT","Dlgap1"
"34",0,0.45750440384436,0.613,0.269,0,"Excitatory.neurons_WT","Khdrbs2"
"35",0,0.455589099980723,0.866,0.451,0,"Excitatory.neurons_WT","Baiap2"
"36",0,0.454298305466498,0.799,0.435,0,"Excitatory.neurons_WT","Rapgef4"
"37",0,0.454158404346164,0.734,0.368,0,"Excitatory.neurons_WT","Mical2"
"38",0,0.453688797266621,0.825,0.469,0,"Excitatory.neurons_WT","Lrfn5"
"39",0,0.449830531287179,0.982,0.685,0,"Excitatory.neurons_WT","Snap25"
"40",0,0.447901523439852,0.673,0.322,0,"Excitatory.neurons_WT","Hecw1"
"41",0,0.447765847995452,0.848,0.485,0,"Excitatory.neurons_WT","Erc2"
"42",0,0.447054099887179,0.718,0.402,0,"Excitatory.neurons_WT","2900055J20Rik"
"43",0,0.446990569055035,0.941,0.564,0,"Excitatory.neurons_WT","Grin1"
"44",0,0.445924512296668,0.752,0.392,0,"Excitatory.neurons_WT","Apba2"
"45",0,0.445865315092984,0.581,0.234,0,"Excitatory.neurons_WT","Stx1a"
"46",0,0.443627627741786,0.697,0.353,0,"Excitatory.neurons_WT","Ano3"
"47",0,0.443332984225405,0.549,0.241,0,"Excitatory.neurons_WT","Chrm3"
"48",0,0.440819405301331,0.815,0.463,0,"Excitatory.neurons_WT","Adgrb1"
"49",0,0.439561229277626,0.732,0.36,0,"Excitatory.neurons_WT","Basp1"
"50",0,0.439274084464042,0.507,0.174,0,"Excitatory.neurons_WT","Rtn4r"
"51",0,0.43810138059724,0.529,0.199,0,"Excitatory.neurons_WT","Rprml"
"52",0,0.43770865084767,0.469,0.173,0,"Excitatory.neurons_WT","Nwd2"
"53",0,0.437312374360457,0.789,0.433,0,"Excitatory.neurons_WT","Mir124-2hg"
