"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"0610012G03Rik",470.205258426144,327.556284017928,239.694375570069,303.351465252403,172.489763220723,365.935486592046,1272.15971157806,271.202848694073
"1700037H04Rik",1506.01337844115,739.207511703799,1893.37102061055,656.120582914874,243.267057922354,997.377909411356,1821.41694295856,927.457640913497
"2210016F16Rik",1445.60636602242,1493.41951495681,540.281063073989,2936.92633695794,1114.09263041091,673.9639956,13213.5664324531,1840.57332708336
"2310061I04Rik",1233.42021164856,378.496384849512,592.04237694289,244.510127976324,438.17538462253,854.501042944417,862.722819221831,629.88439208293
"2410002F23Rik",180.708395268833,167.906195713081,154.686567242809,86.1064710354011,68.6193295165228,159.417985778225,391.963411814185,241.730034405488
"2810408A11Rik",719.157816844099,1342.87845205056,428.482125195028,0.017257749,6855.389979,690.422735447244,2211.47304387673,7309.37490326504
"2900026A02Rik",281.537418444698,192.112837210469,419.482633384629,995.045339097055,161.979607549124,1263.6464669684,911.844937978504,102.157360341799
"5031439G07Rik",850.993221679781,2258.41661817861,447.562830124282,186.223282313093,475.123426082781,736.4157158,532.163888125915,515.39304805362
"5730455P16Rik",541.912536131413,436.822533692993,362.385688068156,339.193182107451,304.696418941883,505.321949,1229.20362755192,435.144073531263
"A2m",1012.58647936073,0.000956965,194.37203576519,4435.65667643747,9727.71493052026,22.3400548815394,2023.64432111167,0.005423736
"Aaas",159.680524768672,191.669784772475,85.1599333694788,97.643788279042,54.2215476557553,133.096361698839,349.543819088632,215.70565435443
"Aacs",3732.66077999834,2019.54136142599,1133.64137415453,1535.39168567141,2937.29043646938,4599.56441291441,2644.3077,1145.1678657425
"Aagab",324.522977203396,201.467647760478,261.73892145418,330.544746795225,81.85483883,415.191733314231,1848.57351661792,211.741669760752
"Aak1",7544.80776699707,1719.09497168813,4644.1563867889,1747.92088294908,1655.03034227732,6348.84306718023,4608.228260688,2435.95728767295
"Aamdc",887.306846153692,1529.9816901348,841.799632532792,1795.22826743481,1233.16117369984,651.8685503,2314.78481274693,1974.55100666208
"Aamp",1366.44180029276,979.911445487253,832.212546945242,721.183872770259,952.697334229649,842.0026956,3302.25906924696,916.624261075885
"Aar2",993.994316686389,1043.23258277436,612.060820258887,690.544196696135,443.964824274408,729.1532406,2827.79884428103,810.819288467496
"Aars2",839.2551036193,275.667330416536,419.391965143682,336.6790574,183.747962196479,759.6133557,813.429488352301,248.78770453804
"Aarsd1",2857.05202065207,1516.05514455481,2335.76384674808,1124.39764984708,812.921278265251,2473.85237097327,2587.64735668661,2169.55352506926
"Aasdhppt",984.688950964556,770.534369829221,973.175755857243,757.67210858014,452.1921602053,847.964027402143,1580.9523027483,842.609087273881
"Aass",95.8339470141423,291.291349173446,0.001934162,2296.97329776634,17704.1571177076,36.8895877383711,0.006166196,0.007249569
"Aatk",366.171363601197,3756.37790747055,175.943911274881,227.197331460953,264.15270845228,347.28930369159,334.500605194885,597.0122006
"Abat",39107.6949368892,9294.64641839822,54755.3719610918,20758.101666182,19792.14472,10771.2083702965,12306.4074855809,12983.4347559257
"Abca1",415.219866356939,1747.4044201442,202.053895246765,2245.897941,3373.38574807578,172.827034185865,12973.2614661228,3609.55995948995
"Abca13",1586.61996927404,0.004772026,1121.8446530839,0.038484399,1182.81285311367,1482.30224167688,32808.0376909245,0.0270461367444
"Abca17",191.518635097954,417.024358904337,388.62857111461,70.8285375150188,173.629810884318,1031.18600152761,1830.14552983597,0.002540552
"Abca2",1347.93237646891,5686.31653984323,636.48658118516,474.68419362491,628.773714970584,1001.23789151858,1121.25010892661,822.3834626
"Abca3",1112.91743382994,524.837838624357,592.419717055018,536.797043585882,332.423026588325,879.576408113141,2106.8620832464,781.287756668168
"Abca5",2601.23359741939,758.357312253197,818.558535041732,884.216082593275,895.987676391882,1716.43305095627,714.759984432065,1116.30673221244
"Abca7",529.119252966466,226.496164051064,63.7595722683583,330.604690832608,113.410254546618,485.15203556154,1113.11453854245,406.30185451811
"Abca8a",27.9537846044721,3633.6624701793,14.1270386116222,675.070649853774,118.06075897488,49.16722122,170.492806136247,27.624116061896
"Abca8b",114.01463128145,161.693594968814,77.8229790670914,45.9774224959783,16.1954330305134,97.3887744345309,43.2076590354967,124.679334670384
"Abcb10",238.440770125977,417.323754305482,74.4998628862675,194.65067503874,197.001435889831,147.995615323936,348.352360367819,100.231256544801
"Abcb1a",164.545183034666,335.715863871608,62.0401264618662,61721.9277585939,375.287257606608,41.3397619959793,1732.88838109606,134.923706660712
"Abcb1b",1416.77494194451,737.749722635564,324.415521445315,553.045903017262,1365.44114197619,1311.31906005419,30980.7203885843,3374.62798358555
"Abcb6",323.161846963311,102.1727346896,349.263840941127,102.687337569655,118.418707558688,379.044663901529,246.913227196183,110.074816020787
"Abcb7",4002.381281,4423.278482,3529.35928488397,4311.577706,2525.14080287352,3031.50193223485,12868.552857613,4525.41117933412
"Abcb8",1789.05796196858,3647.94164487765,2001.57480304471,576.907281121816,1493.25085081491,1633.92380129432,1837.94163462117,1873.3329482447
"Abcb9",994.127330873513,144.688842360421,1141.02958680264,238.145947400405,616.85376495473,952.31198655129,466.619340761991,38.0998831134266
"Abcc1",11.0084868445591,9.32482343690932,10.9417666761926,6.04327805516508,5.54374053777342,11.8893960243378,28.9041013286976,17.5263352496591
"Abcc4",117.781694415807,98.9192845323861,306.694235941673,2727.62856630091,313.611560569399,329.107745439352,824.119284719494,464.035819977328
"Abcc8",293.859575757075,29.2745520328339,241.40698533114,57.0900197304994,10.7718126986348,533.042961555996,80.210062471549,19.1275842310531
"Abcd2",558.741979667074,119.294588751973,323.397451889246,184.443831276993,1137.20455999808,271.742817980427,6541.64872553248,34.4963348529822
"Abcd3",2210.43449105598,1378.83651564663,1715.37209747069,4338.17955001485,2909.41644862201,1590.73549982478,5500.528462,3336.27993501235
"Abce1",6571.38770043579,4477.79139486842,5661.80997672739,4280.74059535815,2750.71309443679,6416.35108229298,19125.516074279,6246.42618493365
