"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"0610012G03Rik",647.980873532342,491.152366672276,364.393716085966,308.107840832711,338.250192169054,515.037593712987,623.063062454147,326.441679287282
"1700037H04Rik",2000.65526575956,1265.64522238258,3053.01572098844,2224.00204884124,1031.53162424286,1291.22128308741,1617.47313350213,1200.3263421974
"2210016F16Rik",2037.268675521,1505.07143759744,934.711274611405,4479.02289916796,2446.87051818799,1305.64711316637,7138.31404033847,2740.96538145697
"2310061I04Rik",1544.30590291521,605.958978911502,934.69860959308,591.504063108554,840.547960564159,1170.37507562106,455.459382494083,691.912830622673
"2410002F23Rik",275.309147479264,264.113144222906,262.4595682,155.211692934117,188.418201699467,228.965907678276,249.398256176962,348.590776366314
"2810408A11Rik",991.619264793633,3736.33752222465,0.001948612,8860.37103,6621.19493628357,547.84400950393,510.794048196454,2703.06607577807
"2900026A02Rik",383.15160340785,370.152759500987,914.452565088357,1691.75564036056,204.322897277118,2006.38491439116,682.227044100615,189.510178893128
"5031439G07Rik",1127.26341990277,2636.99837045579,711.248446201483,482.202432889852,1133.81395134934,963.789978679932,521.872252880197,609.40747742802
"5730455P16Rik",772.591840293613,579.967008174729,599.274473967742,588.49891855099,523.361682093772,688.190773724058,541.263249179589,638.994532680941
"A2m",427.264630755648,651.584300960519,161.61576106021,5983.29913586232,8108.29592929961,22.5435833722604,0.003018352,1370.33362338877
"Aaas",181.544006039618,311.738823499891,134.40894046788,259.208393654367,127.527390480247,177.325660290843,190.732718255504,201.836163760378
"Aacs",4951.65217231264,3383.44440228366,2465.57015426675,2843.33913595008,5652.58326636103,5514.09819062558,1264.50722045899,2822.5632137495
"Aagab",425.054529093065,275.856166129203,440.34060631639,250.10628543181,261.847549397984,534.3244537,874.769627573353,270.780809539917
"Aak1",10531.1365119851,2762.43348669526,8590.73652315759,4621.74704864817,3662.34834169084,9917.48645322194,3196.04231375718,3743.40531166188
"Aamdc",997.999606051851,2034.10574495991,1136.50127934281,2083.93904411572,2481.93302587468,854.335620672137,1195.65386793707,3055.10235685163
"Aamp",1558.00386732676,1625.766320484,1255.81898335576,1485.91595684232,1476.13363559442,1111.63704414158,1744.499503,1345.3558369147
"Aar2",1113.4052802376,1598.35171197393,1141.61930393219,1000.69872178569,1196.98596510463,1001.74162767867,992.4013577,1286.90402385691
"Aars2",1310.85847486179,350.0607565,731.369240108095,289.447224431766,622.117743964553,1084.49349782844,287.9896485,574.704597596646
"Aarsd1",3230.76231528515,1916.78669571388,3656.368526,2310.30842340228,1959.46102045238,3162.38716211976,1457.63304603854,2479.50099109231
"Aasdhppt",1212.93021225267,741.187623308655,1376.84589262262,1192.08821155269,809.054732218043,1178.434250411,897.884636636119,912.365925753212
"Aass",101.788841719728,676.172176292572,395.62196748423,2092.03600319708,22202.0437629233,32.8239963719249,1443.73016622103,526.648724367795
"Aatk",462.330171044604,4920.16230132242,340.990845162,382.419661363685,559.784290874752,490.904587295962,144.217193228794,763.486484417214
"Abat",47580.7236403158,12749.7310545497,79907.09031,21940.15237208,47257.6849479923,12415.0554479167,10837.1205454627,22357.431112501
"Abca1",529.163762319683,1667.74698440919,199.306094627626,2516.517836,4905.96898397497,208.331492667822,7333.72495952963,3879.24636357852
"Abca13",2591.85439937012,0.0119271616628217,1360.50800719743,0.096187589,15255.1686238721,2340.27412817601,19957.8646330896,0.067598891
"Abca17",234.361494589764,0.000630263,276.499916859258,0.00508281,0.00203482,1638.91197613767,0.003038293,0.003572107
"Abca2",1270.59266931224,6537.88189054535,794.728395146546,655.43031081016,1070.848658,1020.71199525726,349.499729325606,1211.61152130255
"Abca3",1063.22873494126,522.951746090865,718.041182853685,675.306494416483,618.915569203337,895.143066379981,829.970236917716,964.797927978195
"Abca5",3284.12542251038,954.014659241525,1066.28008061061,1000.76493990421,2442.83902408352,2054.80725114233,350.013519909279,1831.09404092703
"Abca7",688.500584276658,478.975904392347,132.34526071708,437.326560927644,318.381377925559,594.93359547664,767.361696574047,629.745903862595
"Abca8a",84.4597451833548,4609.528222,19.0324499716834,724.38072007894,245.264044967083,60.4341840653377,65.4669083626284,157.776161841612
"Abca8b",114.152311467636,186.000178762746,129.002300764739,65.5238627437418,28.1460642306687,140.939675433554,26.9175984580369,204.742844668281
"Abcb10",235.984745479318,712.403759909789,139.153189536807,244.466637202016,346.580319001349,169.704729239111,217.318348498558,225.81326749237
"Abcb1a",187.222953990723,203.665794627934,20.4578266383924,85482.623374787,691.763056085939,161.450019055123,982.397638148352,0.001229737
"Abcb1b",2938.88350528725,1215.11049174703,825.041086103712,1501.9924144614,4347.9350132289,2745.68160434833,16973.9338124185,6528.90305
